,SA12018_code,averge_room,Male,Female,Average Age,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Median personal income($),Employed Full time,Employed Part time,Unemployed,Paid employee,Employer,Self employed and without employees,Unpaid family worker,median_CV,median_FA,median_AR,median_bed,median_Bath,median_Price,median_school,weighted_weapon,weighted_crime,Number_of_happens,Number of Victimisations
0,7001130,2.6842105263157894,0.58,0.42,41.42307692,0.703125,0.265625,0.0,0.0,0.0,0.015625,0.015625,0.0,25500,0.357142857,0.125,0.035714286,0.339285714,0.035714286,382,0.017857143,-0.7921193614128648,-1.1168246103679293,1.3067339766554786,-2.155758805565807,-0.7521814178507827,12.577041317894862,0.0,0.0,0.47058823529411764,8,8
1,7001131,2.161290322580645,0.547169811,0.452830189,50.07692308,0.746031746,0.142857143,0.047619048,0.015873016,0.0,0.015873016,0.015873016,0.015873016,18900,0.234042553,0.191489362,0.106382979,0.29787234,0.042553191,364,0.042553191,-0.7588605150581178,-1.3244139945112299,0.31792558000802773,-2.155758805565807,-0.7521814178507827,12.396693005138824,0.0,0.0,0.6470588235294117,11,11
2,7001132,2.2666666666666666,0.568181818,0.431818182,48.19047619,0.788461538,0.173076923,0.019230769,0.019230769,0.0,0.0,0.0,0.0,24600,0.277777778,0.185185185,0.092592593,0.277777778,0.037037037,535,0.018518519,-1.0623474880451838,-1.3244139945112299,0.25077157940411215,-2.155758805565807,-0.7521814178507827,12.013700752882718,0.0,0.0,0.6470588235294117,11,12
3,7001134,2.8823529411764706,0.64,0.36,51.13043478,0.884615385,0.038461538,0.0,0.0,0.0,0.038461538,0.038461538,0.0,19700,0.318181818,0.136363636,0.090909091,0.272727273,0.0,527,0.0,-0.5302059463692326,-1.1791014256109194,0.26721745710303013,-2.155758805565807,-0.7521814178507827,12.706847933442663,0.0,0.0,0.6470588235294117,11,11
4,7001135,2.310344827586207,0.5,0.5,46.40298507,0.717647059,0.211764706,0.011764706,0.011764706,0.0,0.023529412,0.023529412,0.0,21200,0.275362319,0.202898551,0.057971014,0.333333333,0.043478261,320,0.014492754,-0.7796472940298347,-1.1583424871965893,0.44126966274991347,-2.155758805565807,-0.7521814178507827,12.396693005138824,0.0,0.0,0.2941176470588235,5,5
5,7001136,2.066666666666667,0.481481481,0.518518519,49.22222222,0.774193548,0.161290323,0.064516129,0.0,0.0,0.0,0.0,0.0,19300,0.230769231,0.230769231,0.076923077,0.307692308,0.038461538,451,0.0,-0.1144703669348955,-0.5563332731810178,0.407007417543834,-0.44485964553967455,-0.7521814178507827,12.89921982609012,0.0,0.0,0.11764705882352941,2,2
6,7001137,3.2222222222222223,0.5,0.5,39.36363636,0.742424242,0.181818182,0.015151515,0.03030303,0.0,0.015151515,0.015151515,0.0,32400,0.344262295,0.147540984,0.0,0.31147541,0.06557377,354,0.049180328,-1.1953828734641718,-0.8469584109816386,4.138851165390001,-2.155758805565807,-0.7521814178507827,12.154779351142624,1.0,0.0,0.11764705882352941,2,2
7,7001138,3.5625,0.5,0.5,33.72413793,0.68,0.146666667,0.08,0.013333333,0.026666667,0.026666667,0.026666667,0.0,37400,0.4,0.1,0.0,0.35,0.05,413,0.0,-0.7796472940298347,-0.016600874408436276,0.8222658294415162,1.2660395144864578,-0.7521814178507827,12.225875272826354,1.0,0.0,0.4705882352941176,8,8
8,7001139,3.238095238095238,0.484375,0.515625,39.5,0.828947368,0.131578947,0.013157895,0.0,0.0,0.013157895,0.013157895,0.0,25700,0.36,0.133333333,0.013333333,0.346666667,0.053333333,241,0.04,-0.9147613573459943,-0.5978511500096779,3.1000198907416734,-0.44485964553967455,-0.7521814178507827,12.420419262643861,1.0,0.0,0.1764705882352941,3,3
9,7001142,3.210526315789474,0.509433962,0.490566038,39.96296296,0.737704918,0.131147541,0.016393443,0.06557377,0.016393443,0.016393443,0.016393443,0.0,28800,0.403846154,0.096153846,0.019230769,0.288461538,0.057692308,402,0.038461538,-0.21840426179347977,-0.4317796426950374,12.612589649757552,-0.44485964553967455,-0.7521814178507827,12.542544882151386,2.0,0.0,0.058823529411764705,1,1
10,7001143,3.2857142857142856,0.480392157,0.519607843,38.88118812,0.785123967,0.148760331,0.024793388,0.016528926,0.008264463,0.008264463,0.008264463,0.0,37000,0.370689655,0.129310345,0.0,0.293103448,0.025862069,497,0.034482759,-0.7172869571146843,-1.3451729329255597,1.1511833834198784,-0.44485964553967455,-0.7521814178507827,12.546109948315882,1.0,0.0,0.23529411764705882,4,4
11,7001150,3.1052631578947367,0.517857143,0.482142857,40.59649123,0.661971831,0.281690141,0.042253521,0.0,0.014084507,0.0,0.0,0.0,28800,0.292307692,0.2,0.015384615,0.353846154,0.030769231,335,0.030769231,-1.1122357575773043,-1.0545477951249391,0.6708267056306453,-2.155758805565807,-0.7521814178507827,12.192772304631585,2.0,0.0,0.7647058823529412,13,16
12,7001152,3.44,0.523076923,0.476923077,42.16129032,0.861111111,0.097222222,0.027777778,0.0,0.013888889,0.0,0.0,0.0,41900,0.358974359,0.128205128,0.012820513,0.205128205,0.076923077,525,0.038461538,0.8832950237075133,-0.8469584109816386,2.453148701250895,1.2660395144864578,1.0346855864585136,13.38779984090879,2.0,0.0,0.11764705882352941,2,2
13,7001154,3.263157894736842,0.519230769,0.480769231,44.69230769,0.875,0.035714286,0.017857143,0.0,0.035714286,0.017857143,0.017857143,0.0,28000,0.310344828,0.189655172,0.017241379,0.25862069,0.051724138,461,0.051724138,-0.5717795043126662,-0.5459538039738527,0.33848292713167544,-0.44485964553967455,-0.7521814178507827,12.818460111507772,1.0,0.0,0.058823529411764705,1,1
14,7001155,2.7857142857142856,0.5,0.5,49.20930233,0.770833333,0.229166667,0.0,0.0,0.0,0.0,0.0,0.0,28900,0.361702128,0.127659574,0.021276596,0.319148936,0.042553191,431,0.021276596,-0.3846984935672146,-0.639369026838338,0.3302599882822163,-0.44485964553967455,-0.7521814178507827,12.886641043883259,1.0,0.0,0.058823529411764705,1,1
15,7001157,3.526315789473684,0.509090909,0.490909091,41.45454545,0.828125,0.078125,0.0,0.03125,0.015625,0.03125,0.015625,0.0,24800,0.31372549,0.196078431,0.0,0.274509804,0.039215686,508,0.019607843,-1.0290886416904368,-1.0545477951249391,0.7139971345903053,-2.155758805565807,-0.7521814178507827,12.230765258120545,2.0,0.0,0.7647058823529411,13,19
16,7001159,3.0625,0.533333333,0.466666667,42.2173913,0.836734694,0.06122449,0.040816327,0.020408163,0.020408163,0.020408163,0.0,0.0,29200,0.325581395,0.162790698,0.023255814,0.302325581,0.069767442,454,0.0,-0.7588605150581178,-0.4317796426950374,1.071694974541774,-0.44485964553967455,-0.7521814178507827,12.785491060761776,1.0,0.0,0.11764705882352941,2,2
17,7001161,2.7058823529411766,0.515151515,0.484848485,48.21212121,0.794871795,0.102564103,0.0,0.025641026,0.025641026,0.025641026,0.025641026,0.0,31400,0.324324324,0.162162162,0.027027027,0.27027027,0.054054054,486,0.027027027,-0.3015513776803472,-0.8469584109816386,0.2219912934310054,-0.44485964553967455,-0.7521814178507827,12.86099861326992,1.0,0.0,0.5294117647058822,9,9
18,7001163,3.147058823529412,0.5125,0.4875,48.66666667,0.795698925,0.129032258,0.021505376,0.010752688,0.021505376,0.010752688,0.010752688,0.0,29200,0.301369863,0.178082192,0.01369863,0.273972603,0.04109589,517,0.02739726,-0.2807645987086303,-0.22419025855173683,0.5002007245043699,-0.44485964553967455,-0.7521814178507827,12.9190224533863,1.0,0.0,0.058823529411764705,1,1
19,7001173,3.1666666666666665,0.536585366,0.463414634,37.875,0.673469388,0.265306122,0.040816327,0.020408163,0.0,0.0,0.0,0.0,31400,0.390243902,0.097560976,0.024390244,0.341463415,0.048780488,323,0.024390244,-0.9459415258035695,-1.4697265634115402,0.8743444421547568,-2.155758805565807,-0.7521814178507827,12.446621699176674,1.0,0.0,0.23529411764705882,4,4
20,7001176,3.411764705882353,0.5,0.5,43.875,0.744680851,0.191489362,0.0,0.021276596,0.0,0.021276596,0.021276596,0.0,30400,0.380952381,0.095238095,0.023809524,0.333333333,0.047619048,458,0.0,-0.5717795043126662,-0.3279849506233871,1.88576592063822,-0.44485964553967455,-0.7521814178507827,12.611537753638338,1.0,0.0,0.1764705882352941,3,3
21,7001178,3.3043478260869565,0.523076923,0.476923077,40.93939394,0.76,0.173333333,0.04,0.013333333,0.0,0.0,0.0,0.013333333,38700,0.376623377,0.116883117,0.012987013,0.337662338,0.038961039,338,0.038961039,-0.6653200096853921,-0.286467073794727,2.146158984204424,-0.44485964553967455,-0.7521814178507827,12.589596639729912,1.0,0.0,0.1764705882352941,3,3
22,7001179,3.3846153846153846,0.628571429,0.371428571,39.91666667,0.80952381,0.142857143,0.047619048,0.0,0.0,0.0,0.0,0.0,26100,0.377777778,0.088888889,0.022222222,0.311111111,0.022222222,380,0.088888889,-0.8627944099167022,0.502372585949815,2.8711480927650634,-0.44485964553967455,0.14125208430386543,12.190843041787819,2.0,0.0,0.3529411764705882,6,6
23,7001180,3.363636363636364,0.5,0.5,38.0,0.756756757,0.108108108,0.027027027,0.0,0.0,0.054054054,0.054054054,0.0,33000,0.34375,0.15625,0.03125,0.34375,0.03125,279,0.03125,-1.1621240271094246,-0.8469584109816386,-0.8867349614377233,-0.44485964553967455,-0.7521814178507827,12.01974306733868,1.0,0.0,2.411764705882353,41,41
